name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AMD A9-9400,0.0,10.0,2016-12-01,FP4,Laptop,2400.0,3200.0,1,2,1,2671,63,64.0,2048.0,0.0
AMD A9-9410,0.0,25.0,2016-07-01,FP4,Laptop,2900.0,3500.0,1,2,1,2553,266,64.0,2048.0,0.0
AMD A9-9420,0.0,15.0,2017-08-01,Unknown,Laptop,3000.0,3400.0,1,2,1,2568,197,64.0,2048.0,0.0
AMD A9-9420e,0.0,0.0,2018-04-01,Unknown,Laptop,2600.0,0.0,1,2,1,2885,75,64.0,2048.0,0.0
AMD A9-9425,0.0,15.0,2018-06-01,BGA (FT4),Laptop,3100.0,3700.0,1,2,1,2552,280,64.0,2048.0,0.0
AMD A9-9430,0.0,0.0,2017-12-01,Unknown,Desktop,3200.0,3500.0,1,2,1,2491,29,64.0,2048.0,0.0
AMD A9-9820,0.0,0.0,2021-04-01,Unknown,Unknown,2300.0,2395.0,1,8,1,1587,1,64.0,2048.0,0.0
AMD Athlon 1500+,0.0,0.0,2009-03-01,Unknown,Unknown,1333.0,0.0,1,1,1,3888,2,64.0,256.0,0.0
AMD Athlon 1640B,50.0,45.0,2009-05-01,AM2,Desktop,2700.0,0.0,1,1,1,3583,18,64.0,2048.0,0.0
AMD Athlon 200GE,123.89,35.0,2018-09-01,AM4,Desktop,3200.0,3200.0,1,2,2,1486,470,64.0,2048.0,0.0
AMD Athlon 220GE,129.0,35.0,2019-03-01,AM4,Laptop,3400.0,0.0,1,2,2,1426,21,64.0,2048.0,0.0
AMD Athlon 240GE,135.99,35.0,2019-01-01,AM4,Desktop,3500.0,0.0,1,2,2,1402,30,64.0,2048.0,0.0
AMD Athlon 2650e,19.0,15.0,2009-01-01,AM2,Desktop,1600.0,0.0,1,1,1,3766,77,64.0,2048.0,0.0
AMD Athlon 2800+,109.95,89.0,2009-03-01,754,Unknown,2133.0,0.0,1,1,1,3743,2,64.0,256.0,0.0
AMD Athlon 2850e,0.0,22.0,2009-11-01,AM2,Desktop,1800.0,0.0,1,1,1,3687,38,64.0,2048.0,0.0
AMD Athlon 3000G,89.99,35.0,2019-11-01,AM4,Desktop,3500.0,0.0,1,2,2,1414,328,64.0,2048.0,0.0
AMD Athlon 300GE,0.0,35.0,2019-12-01,AM4,Desktop,3400.0,0.0,1,2,2,1449,32,64.0,2048.0,0.0
AMD Athlon 300U,0.0,15.0,2019-07-01,FP5,Laptop,2400.0,3300.0,1,2,2,1518,94,64.0,2048.0,0.0
AMD Athlon 320GE,0.0,35.0,2021-09-01,AM4,Desktop,3500.0,0.0,1,2,2,1451,6,64.0,2048.0,0.0
AMD Athlon 5000 Dual-Core,109.95,65.0,2009-10-01,"AM2,AM2+",Desktop,2200.0,0.0,1,2,1,3094,42,64.0,512.0,0.0
AMD Athlon 5150 APU,98.86,25.0,2014-04-01,"AM1,FS1b",Desktop,1600.0,0.0,1,4,1,2650,184,64.0,2048.0,0.0
AMD Athlon 5200 Dual-Core,189.95,75.0,2010-12-01,AM2,Desktop,2700.0,0.0,1,2,1,3097,20,64.0,512.0,0.0
AMD Athlon 5350 APU,149.99,25.0,2014-03-01,"AM1,FS1B",Desktop,2050.0,0.0,1,4,1,2412,634,64.0,2048.0,0.0
AMD Athlon 5370 APU,598.68,25.0,2016-04-01,"AM1,FS1B",Desktop,2200.0,0.0,1,4,1,2336,36,64.0,2048.0,0.0
AMD Athlon 64 2000+,0.0,8.0,2013-11-01,Unknown,Unknown,1000.0,0.0,1,1,1,3941,2,64.0,256.0,0.0
AMD Athlon 64 2600+,0.0,15.0,2013-11-01,Unknown,Unknown,1600.0,0.0,1,1,1,3811,1,64.0,256.0,0.0
AMD Athlon 64 2800+,99.99,89.0,2009-01-01,754,Unknown,1800.0,0.0,1,1,1,3732,29,64.0,256.0,0.0
AMD Athlon 64 3100+,0.0,89.0,2015-01-01,754,Desktop,1800.0,0.0,1,1,1,3516,1,64.0,256.0,0.0
AMD Athlon 64 3300+,0.0,0.0,2009-03-01,Unknown,Unknown,2400.0,0.0,1,1,1,3631,10,64.0,256.0,0.0
AMD Athlon 64 3400+,99.95,89.0,2009-01-01,754,Unknown,2400.0,0.0,1,1,1,3699,99,64.0,256.0,0.0
AMD Athlon 64 3800+,131.01,45.0,2009-01-01,AM2,Unknown,2400.0,0.0,1,1,1,3738,235,64.0,512.0,0.0
AMD Athlon 64 FX-55,65.0,104.0,2009-02-01,939,Desktop,2600.0,0.0,1,1,1,3592,13,64.0,1024.0,0.0
AMD Athlon 64 FX-57,0.0,104.0,2009-03-01,939,Desktop,2800.0,0.0,1,1,1,3485,11,64.0,1024.0,0.0
